Walker's Game Ear ULTRA EAR BTE&ITC GWP-UE2002 Ear M  ...,$27.27,3.2/5.0,https://www.walmart.com/ip/Walker-s-Game-Ear-ULTRA-EAR-BTE-ITC-GWP-UE2002-Ear-Muff/14657438,"Amplify your hearing so you can listen carefully for your preys footfall or reduce it to avoid damage to your ears from muzzle blasts when you put in Walkers Game Ear Ultra Ear ITC Sound Amplifier This pair of ear buds also comes with 3 different sets of eartips of various sizes so theyll fit you like a glove These in ear buds are lightweight and can be used in either ear Adjust the tone and volume to improve your hearing or deafen the sound of a shot, thanks to the mild compression circuit",Walmart #  939382
Medline Walker Basket Accessory,$19.25,4.0/5.0,https://www.walmart.com/ip/Medline-Walker-Basket-Accessory/7983662?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=467a046ca957f75c700a2d913872bcda&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"The Medline walker basket accessory makes it easier to carry important items with you It offers plenty of storage space and can hold up to three pounds This basket for mobility walker attaches easily to any style walker It is made with plasticcoated wire and is convenient to use You can put your groceries in it while you shop instead of struggling with a cart This basket can also hold your purse or bag, making the contents more accessible Put your belongings in this basket to take strain off your shoulders and back Because it detaches easily, you can take it with you anywhere Add this to your collection of walker accessories",Walmart #  552290883
"Hip Kit #8: 32"" Reacher, Contoured Sponge, Sock and   ...",$23.82,0.0/5.0,https://www.walmart.com/ip/Hip-Kit-8-32-Reacher-Contoured-Sponge-Sock-and-Stocking-Aid-Dressing-Stick/41535984,"This Fablife Hip Kit includes a reacher, contoured sponge, sock and stocking aid, and a dressing stick all in one convenient package Its the smart way to maintain independence for yourself or a loved one Each item included in the kit is designed to help people avoid bending at the hip The 32inch reacher assists with picking items up off the ground or in other low places The contoured sponge helps clean hardtoreach places in the bath or shower The sock aid and dressing stick allow you to get dressed independently",Walmart #  557140806
"BirdRock Home Short 19"" Grabber Pick Up Tool",$14.99,0.0/5.0,https://www.walmart.com/ip/BirdRock-Home-Short-19-Grabber-Pick-Up-Tool/607674094,"The BirdRock Home lightweight reaching aid has been specifically designed to assist you with hardtoreach areas Simply grab the reaching aid along the textured, comfortable handle and position the grabber around the object to be picked up Gently squeeze the trigger and allow the rubber grabber jaws to fasten securely around the object Reduce the strain on your back and allow the reaching aid to assist you",Walmart #  570748196
"Hip Kit with 26"" Reacher, Contoured Sponge, Sock Aid  ...",$24.18,4.5/5.0,https://www.walmart.com/ip/Hip-Kit-with-26-Reacher-Contoured-Sponge-Sock-Aid-18-Plastic-Shoehorn-and-Dressing-Stick/55210952,"Now you can prove it is hip to have help with the aid of this 26&quot; Reacher This is part of a FabLife Hip Kit that includes a collection of AidsToDaily Living ADL products in one convenient package Minimize dependence on others with these essential items to assist with bathing, dressing and other daily living activities A stocking aid is part of this kit, which is ideal for people recovering from hip, knee or back surgeries Included is a 26&quot; reacher, a contoured sponge, one formed sock aid, an 18&quot; plastic shoehorn and a 24&quot; dressing stick, all of which help in the recovery process All items, like the included sock assist tool, help people avoid the need to need to bend at the hip, giving freedom to people with a limited range of motion You can grab items in hard to reach places, remove and put on socks and shoes and make getting ready for the day or for bed easier Turn to the 26&quot; Reacher as part of a hip kit that helps make you more mobile",Walmart #  557092997
"Carex 32"" Metal Reacher Grabber",$13.99,4.2/5.0,https://www.walmart.com/ip/Carex-32-Metal-Reacher-Grabber/10105202,"This Carex 32&quot; Metal Reacher grabber helps users with weakened strength to grasp items from hardtoreach places in and around their homes With magnetic tips, this folding reacher can aid in lifting small objects Measuring 32&quot; in length, this grabber is suitable for use by virtually anyone Made from primarily metal, it is sturdy and durable The convenient size also allows this folding reacher to easily be stored in your home when not in use This grabber can be used for doorknobs, keys, lamps, switches and much more",Walmart #  4025940
Ezy Dose AM/PM Travel Pill Pods Pill Planner,$5.99,4.8/5.0,https://www.walmart.com/ip/Ezy-Dose-AM-PM-Travel-Pill-Pods-Pill-Planner/33056563,"Keep your daily medication intake on schedule with the Ezy Dose pill planner This convenient item offers a handy way to remember when it is time to take your pills The AM/PM medication planner has individual pods that are clearly marked The design of the contoured compartments makes it simple to remove the tablets This daily pill planner gets you ready for the week With its handy design, it is excellent for taking with you or keeping it at home This dispenser is ideal when you need a reminder to take prescribed medications or vitamins at the correct time each day",Walmart #  551930174
Apex 7-Day MediPlanner Pill Organizer,$7.99,4.4/5.0,https://www.walmart.com/ip/Apex-7-Day-MediPlanner-Pill-Organizer/14089470,"The Apex 7Day MediPlanner provides a useful system for holding and organizing your pills or vitamins It helps manage a weekly fourtimesperday medication regimen Each compartment in the Apex MediPlanner is labeled with Morn, Noon, Eve and Bed for each day of the week for easier and safer dosing The fourcompartment design and easy snap lids securely hold pills and keep them safe while within a drawer or on your counter This product is ideal for taking with you when you travel, or for setting up elderly folks so they remember which pills to take and when The bottoms of each compartment are contoured to make it easier for you to get the pills out Their translucent tops allow you to see whats inside without having to open up the lids",Walmart #  004054186
Pill Organizer Medium 7 Day,$3.81,5.0/5.0,https://www.walmart.com/ip/Pill-Organizer-Medium-7-Day/46108695,"ul  liClassic 7day design helps you remember daily medications/li  liSeethrough plastic lets you see if todays pills have been taken without opening the lid/li  liEach compartment holds 11 aspirin tablets/li  liDurable, translucent plastic/li  liEasyopen lids/li /ul",Walmart #  567193593
"Ezy Dose Pill Planner, 1.0 CT",$4.78,4.3/5.0,https://www.walmart.com/ip/Ezy-Dose-Pill-Planner-1-0-CT/10996835,"Ezy Dose Pill Planner It is the leader in innovative, easytouse medication management products It has large push buttons that easily pop open each compartment for morning and evening pill organization Its push buttons are excellent for those with dexterity or hand sensitivity issues/p",Walmart #  004039754
